date,platform,channel,account_name,campaign_id,campaign_name,adset_id,adset_name,ad_id,ad_name,creative_id,creative_name,landing_page,geo,device,currency,spend,impressions,reach,frequency,clicks,link_clicks,ctr,cpc,video_views,video_view_rate,completed_views,listen_starts,completed_listens,sessions,accounts_created,new_activated_users,conversion_value,source_file,source_grain,attribution_notes,data_confidence,notes
2026-02-03,newsletter,newsletter,The Follow Up,1f014c67-6ca3-4f50-91ab-a85d1b1e7b98,Primary placement: The Follow Up 2026-02-03,,,,,,,,,,USD,600,,,,217,,,2.7650,,,,,,,78,54,,activities + activity_uplifts,campaign,Primary placement activity; incremental = post-window minus baseline; attributed=49,MED,channel=newsletter; status=live; tag=; source=sheets
2026-02-03,other,influencer,Growi UGC,,,,,,,,,,,,USD,,165,,,,,,,165,,,,,,,,,growi_daily_snapshots,daily_total,Growi UGC aggregate; no spend or conversion tracking,medium,likes=5; comments=0; shares=0; saves=1; posts=2; tiktok_views=170; ig_views=0
2026-02-03,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,715,360,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2026-02-04,linkedin,paid_social,How to AI,dc99b370-dce1-4fbc-9a5f-05a8e01fe0d2,dedicated post: How to AI 2026-02-04,,,,,,,https://www.linkedin.com/posts/how-to-summarize-meetings-in-less-than-2-ugcPost-7424813997436108800-wjw6?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC3ECCgB974JAYKpQmH9cNSSFJv0PaJCxxc,,,USD,800,,,,0,,,,,,,,,,228,249,,activities + activity_uplifts,campaign,dedicated post activity; incremental = post-window minus baseline; attributed=68,LOW,channel=linkedin; status=live; tag=; source=sheets
2026-02-04,linkedin,paid_social,How to Prompt,b25f43fe-74b0-44a7-8956-bda66f7e36c6,dedicated post: How to Prompt 2026-02-04,,,,,,,https://www.linkedin.com/posts/turn-a-pain-point-into-a-carousel-ugcPost-7424738504384925697-ufwa?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC3ECCgB974JAYKpQmH9cNSSFJv0PaJCxxc,,,USD,1200,,,,0,,,,,,,,,,228,249,,activities + activity_uplifts,campaign,dedicated post activity; incremental = post-window minus baseline; attributed=108,LOW,channel=linkedin; status=live; tag=; source=sheets
2026-02-04,newsletter,newsletter,Sitepoint,7a7e1cbc-e8c2-43aa-9d77-4a5388d248c8,Main ad: Sitepoint 2026-02-04,,,,,,,,,,USD,1000,,,,180,,,5.5556,,,,,,,55,42,,activities + activity_uplifts,campaign,Main ad activity; incremental = post-window minus baseline; attributed=31,MED,channel=newsletter; status=live; tag=; source=sheets
2026-02-04,other,influencer,Growi UGC,,,,,,,,,,,,USD,,289,,,,,,,289,,,,,,,,,growi_daily_snapshots,daily_total,Growi UGC aggregate; no spend or conversion tracking,medium,likes=6; comments=0; shares=2; saves=0; posts=1; tiktok_views=289; ig_views=0
2026-02-04,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,592,371,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2026-02-05,other,influencer,Growi UGC,,,,,,,,,,,,USD,,1970,,,,,,,1970,,,,,,,,,growi_daily_snapshots,daily_total,Growi UGC aggregate; no spend or conversion tracking,medium,likes=70; comments=0; shares=1; saves=0; posts=6; tiktok_views=1970; ig_views=0
2026-02-05,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,581,288,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2026-02-06,linkedin,paid_social,,urn:li:sponsoredCampaign:530501546,KV_Meta ads_02/26_Product/Operations_UK/NA_Cold,,,,,,,,,,USD,206.92,4554,,,21,21,0.004611,9.8533,,,,,,,,,,linkedin_ad_daily,campaign,LinkedIn Ads API; conversions use LinkedIn 30-day click-through window,high,conversions=0; reactions=3; comments=0; shares=0
